@RELATION OperacaoMarubozu

@ATTRIBUTE porcentagemOperacaoFinal REAL
@ATTRIBUTE precoEntrada REAL
@ATTRIBUTE precoPrimeiroAlvoFibonacci REAL
@ATTRIBUTE precoSegundoAlvoFibonacci REAL
@ATTRIBUTE precoStop REAL
@ATTRIBUTE precoTerceiroAlvoFibonacci REAL
@ATTRIBUTE primeiroAlvoAtingido {0,1}
@ATTRIBUTE segundoAlvoAtingido {0,1}
@ATTRIBUTE start {0,1}
@ATTRIBUTE terceiroAlvoAtingido {0,1}
@ATTRIBUTE pavioInferior {0,1,2}
@ATTRIBUTE pavioSuperior {0,1,2}
@ATTRIBUTE tipo {0,1}
@ATTRIBUTE variacaoPreco {0,1,2,3}
@ATTRIBUTE volumeAcimaMedia20 {0,1}

@DATA
0,24.9,25.25,25.48,24.29,25.84,0,0,0,0,2,0,1,0,1
11.45,15.01,16.05,16.7,13.29,17.75,0,0,1,0,0,0,1,3,1
0.79,24.7,25.29,25.67,23.7,26.27,1,0,1,0,0,0,1,0,1
3.9,34.3,35.12,35.62,32.96,36.45,0,0,1,0,2,0,1,0,1
0,11.87,12.27,12.53,11.18,12.94,0,0,0,0,2,0,1,1,1
5.33,77.51,79.87,81.35,73.64,83.72,1,1,1,1,0,0,1,0,1
0,19.9,20.5,20.88,18.88,21.49,0,0,0,0,0,0,1,0,1
7.68,20.29,19.34,18.76,21.85,17.8,0,0,1,0,0,1,0,1,1
3.69,30.33,29.66,29.24,31.45,28.56,0,0,1,0,0,1,0,0,1
0,30.59,29.64,29.05,32.16,28.09,0,0,0,0,0,1,0,0,1
5.24,26.61,27.52,28.09,25.09,29.01,1,1,1,0,2,2,1,0,1
0.84,38.86,39.85,40.47,37.22,41.47,1,0,1,0,2,1,1,0,1
1.02,15.57,16.05,16.36,14.75,16.85,1,0,1,0,0,1,1,0,1
5.51,20.89,21.64,22.11,19.63,22.87,1,1,1,0,2,2,1,0,1
6.25,11.04,10.63,10.38,11.73,9.96,0,0,1,0,1,0,0,0,1
5.41,20.46,21.09,21.49,19.4,22.13,1,1,1,1,1,2,1,0,1
3.42,10.79,11.03,11.18,10.38,11.43,1,1,1,0,0,0,1,0,1
4.73,24.66,25.42,25.9,23.38,26.67,1,1,1,0,0,0,1,0,1
2.74,22.2,24.03,25.18,19.18,27.02,1,0,1,0,0,2,1,3,1
6.14,17.83,18.54,19,16.63,19.72,1,1,1,0,2,2,1,0,1
6.82,13.11,13.69,14.06,12.12,14.66,1,1,1,0,2,2,1,1,1
5.16,41.8,43.04,43.8,39.78,45.05,1,1,1,1,1,0,1,0,1
4.49,93.51,96.25,97.95,89.03,100.7,1,1,1,0,0,2,1,0,1
7.22,11.07,11.54,11.84,10.27,12.32,0,0,1,0,1,1,1,1,1
6.96,18.09,18.84,19.31,16.83,20.08,0,0,1,0,2,0,1,1,1
0,24.99,24.67,24.48,25.53,24.15,0,0,0,0,0,0,0,1,1
4.27,28.75,29.48,29.94,27.52,30.69,0,0,1,0,1,2,1,0,1
1.91,18.31,19.36,20.02,16.56,21.08,1,0,1,0,0,0,1,1,1
16.66,12.36,13.61,14.38,10.3,15.65,0,0,1,0,0,2,1,2,1
11.93,18.34,19.76,20.65,15.99,22.09,1,1,1,0,0,2,1,3,1
5.1,67.21,69.17,70.4,63.99,72.37,1,1,1,1,2,1,1,0,1
1.81,24.98,26.34,27.18,22.74,28.56,1,0,1,0,1,2,1,1,1
8.43,29.39,31,32.01,26.74,33.63,1,1,1,0,0,2,1,0,1
6.82,19.18,18.43,17.97,20.42,17.21,1,1,1,1,0,0,0,0,1
4.35,70.97,72.99,74.24,67.66,76.28,1,1,1,0,2,1,1,0,1
1.34,23.58,22.63,22.05,25.14,21.09,1,0,1,0,0,2,0,0,1
6.17,10.69,10.3,10.05,11.35,9.66,0,0,1,0,0,1,0,0,1
0,17.63,17.05,16.69,18.6,16.1,0,0,0,0,1,2,0,0,1
6.97,16.13,16.86,17.33,14.9,18.07,1,1,1,0,2,2,1,1,1
5.12,36.3,37.51,38.26,34.3,39.49,1,1,1,0,0,1,1,0,1
0.76,34.41,35.2,35.69,33.11,36.49,1,0,1,0,0,0,1,0,1
6.08,32.01,33.12,33.82,30.16,34.94,1,1,1,1,0,0,1,0,1
6.72,93.21,89.35,86.97,99.48,83.1,0,0,1,0,2,0,0,0,1
5.46,27.11,27.95,28.49,25.7,29.34,1,1,1,1,2,2,1,0,1
3.95,19.16,18.73,18.46,19.91,18.01,1,1,1,1,0,2,0,0,1
8.58,18.18,17.25,16.66,19.74,15.72,0,0,1,0,0,2,0,0,1
1.08,15.09,14.6,14.29,15.91,13.8,1,0,1,0,0,2,0,0,1
4.17,28.1,28.86,29.34,26.83,30.11,1,1,1,0,2,1,1,0,1
2.72,75.67,73.95,72.89,78.5,71.15,1,1,1,0,1,0,0,0,1
2.54,26,25.45,25.11,26.94,24.54,1,1,1,0,1,1,0,0,1
0,14.54,14.14,13.9,15.2,13.49,0,0,0,0,0,0,0,0,1
4.18,21.02,20.51,20.18,21.9,19.66,0,0,1,0,1,1,0,0,1
4.22,28.63,27.92,27.47,29.84,26.74,0,0,1,0,2,0,0,0,1
1.01,16.49,16.99,17.31,15.64,17.82,1,0,1,0,1,0,1,0,1
5.07,73.6,75.74,77.08,70.08,79.23,1,1,1,1,0,2,1,0,1
0.98,10.51,10.82,11.03,9.96,11.35,1,0,1,0,2,0,1,0,1
5.06,15.99,15.51,15.21,16.8,14.72,0,0,1,0,0,0,0,0,1
2.76,14.73,14.39,14.18,15.31,13.83,1,1,1,0,0,2,0,0,0
7.93,39.3,41.09,42.19,36.39,43.99,1,1,1,1,0,2,1,1,1
0.85,22.51,23.09,23.47,21.52,24.06,1,0,1,0,0,0,1,2,1
4.79,53.18,54.64,55.55,50.78,57.02,1,1,1,1,2,2,1,0,1
1,16.53,17.03,17.35,15.68,17.86,1,0,1,0,0,2,1,0,1
0,30.04,28.93,28.25,31.86,27.13,0,0,0,0,1,2,0,0,1
1.27,18.5,19.21,19.65,17.31,20.38,1,0,1,0,1,0,1,0,1
4.9,25.85,26.57,27.03,24.63,27.76,1,1,1,1,2,0,1,0,1
7.74,16.01,16.75,17.22,14.77,17.97,0,0,1,0,0,0,1,2,1
4.83,17.5,18.05,18.4,16.56,18.96,1,1,1,0,2,0,1,0,1
0,72.82,71.39,70.5,75.16,69.07,0,0,0,0,2,2,0,0,1
8.22,19.66,20.58,21.16,18.11,22.1,1,1,1,1,1,0,1,0,1
2.74,30.73,31.21,31.51,29.91,32.01,1,1,1,1,0,2,1,0,1
2.96,46.3,47.2,47.75,44.83,48.66,1,1,1,0,2,0,1,0,1
4.97,17.05,17.53,17.84,16.22,18.33,1,1,1,1,2,0,1,0,1
3.82,26.52,25.68,25.15,27.93,24.3,1,1,1,0,2,1,0,0,1
5.43,42.11,43.5,44.37,39.82,45.77,0,0,1,0,1,2,1,0,1
4.7,17.76,18.23,18.54,16.95,19.02,1,1,1,1,0,2,1,0,1
6.49,19.91,20.75,21.28,18.5,22.14,1,1,1,0,2,0,1,0,1
0,17.05,17.43,17.68,16.38,18.07,0,0,0,0,1,0,1,0,1
7.4,13.29,13.93,14.33,12.21,14.99,1,1,1,0,0,1,1,1,1
3.77,10.85,11.08,11.23,10.44,11.47,0,0,1,0,2,0,1,0,1
5.15,19.41,20,20.37,18.41,20.98,0,0,1,0,0,0,1,0,1
0.8,20.26,20.75,21.07,19.41,21.57,1,0,1,0,1,0,1,0,1
6.99,19.01,19.8,20.3,17.68,21.1,0,0,1,0,0,0,1,0,1
2.58,26.29,25.9,25.65,26.97,25.25,0,0,1,0,0,0,0,1,1
5.5,45.05,46.56,47.5,42.57,49.02,0,0,1,0,1,1,1,0,1
0,27.01,27.61,28,25.99,28.61,0,0,0,0,2,0,1,1,1
5.31,13.55,13.12,12.86,14.27,12.42,0,0,1,0,2,1,0,0,1
4.42,18.5,17.82,17.4,19.65,16.7,1,1,1,0,0,0,0,0,1
4.81,17.66,18.16,18.47,16.81,18.99,0,0,1,0,0,1,1,0,1
0.85,21.52,22.07,22.43,20.58,22.99,1,0,1,0,2,2,1,0,1
3.85,11.4,11.64,11.81,10.96,12.06,0,0,1,0,1,0,1,0,1
2.72,13.2,12.12,11.46,14.97,10.37,1,0,1,0,0,0,0,1,1
9.04,15.01,15.89,16.45,13.54,17.34,1,1,1,0,0,2,1,3,1
7.23,13.41,13.98,14.35,12.44,14.93,0,0,1,0,0,1,1,1,1
6.23,25.56,26.47,27.04,24.04,27.96,1,1,1,1,1,0,1,0,1
